mana_value,on_color_pips,off_color_pips,on_color_land_count,off_color_land_count,iterations,average_cast_turn,average_mulligan_count
5,2,1,8,9,100000,6.71613,0.26298
5,2,2,8,9,100000,7.12633,0.26112
5,2,3,8,9,100000,8.79064,0.26472
5,3,0,8,9,100000,8.19915,0.25922
5,3,1,8,9,100000,8.24569,0.26259
5,3,2,8,9,100000,8.66847,0.26308
5,4,0,8,9,100000,11.44499,0.26096
5,4,1,8,9,100000,11.49147,0.26203
5,5,0,8,9,100000,15.66898,0.26479
6,1,0,8,9,100000,8.25399,0.25839
6,1,1,8,9,100000,8.25907,0.26041
6,1,2,8,9,100000,8.4594,0.26231
6,1,3,8,9,100000,9.41721,0.25906
6,1,4,8,9,100000,11.94399,0.26216
6,1,5,8,9,100000,15.56301,0.26043
6,2,0,8,9,100000,8.35704,0.26194
6,2,1,8,9,100000,8.37286,0.26312
6,2,2,8,9,100000,8.54704,0.26464
6,2,3,8,9,100000,9.54142,0.26194
6,2,4,8,9,100000,12.04757,0.26017
6,3,0,8,9,100000,9.24703,0.26363
6,3,1,8,9,100000,9.27481,0.26144
6,3,2,8,9,100000,9.44784,0.26456
6,3,3,8,9,100000,10.42273,0.26296
6,4,0,8,9,100000,11.82494,0.26186
6,4,1,8,9,100000,11.79988,0.25855
6,4,2,8,9,100000,11.98305,0.2617
6,5,0,8,9,100000,15.74231,0.25974
6,5,1,8,9,100000,15.73491,0.26198
6,6,0,8,9,100000,20.1038,0.26095
7,1,0,8,9,100000,10.24854,0.26097
7,1,1,8,9,100000,10.23236,0.2607
7,1,2,8,9,100000,10.30691,0.26178
7,1,3,8,9,100000,10.79751,0.26302
7,1,4,8,9,100000,12.50381,0.2637
7,1,5,8,9,100000,15.66591,0.26346
7,1,6,8,9,100000,19.49465,0.25926
7,2,0,8,9,100000,10.2861,0.26218
7,2,1,8,9,100000,10.28184,0.2619
7,2,2,8,9,100000,10.34468,0.26296
7,2,3,8,9,100000,10.8251,0.26238
7,2,4,8,9,100000,12.55315,0.26199
7,2,5,8,9,100000,15.70836,0.26105
7,3,0,8,9,100000,10.74264,0.26055
7,3,1,8,9,100000,10.74194,0.26365
7,3,2,8,9,100000,10.81048,0.26115
7,3,3,8,9,100000,11.30331,0.25876
7,3,4,8,9,100000,13.02289,0.26304
7,4,0,8,9,100000,12.49457,0.26406
7,4,1,8,9,100000,12.50883,0.26479
7,4,2,8,9,100000,12.57179,0.26214
7,4,3,8,9,100000,13.03159,0.26497
7,5,0,8,9,100000,15.84766,0.26101
7,5,1,8,9,100000,15.92396,0.26017
7,5,2,8,9,100000,15.95638,0.26067
7,6,0,8,9,100000,20.12422,0.26063
7,6,1,8,9,100000,20.10728,0.26303
7,7,0,8,9,100000,24.57859,0.26295
1,1,0,9,8,100000,1.00272,0.20786
2,1,0,9,8,100000,2.08399,0.20395
2,1,1,9,8,100000,2.71244,0.20333
2,2,0,9,8,100000,3.22799,0.20585
3,1,0,9,8,100000,3.32763,0.20401
3,1,1,9,8,100000,3.68933,0.20616
3,1,2,9,8,100000,5.52374,0.20439
3,2,0,9,8,100000,4.00494,0.20338
3,2,1,9,8,100000,4.37361,0.20488
3,3,0,9,8,100000,6.33508,0.20527
4,1,0,9,8,100000,4.77146,0.2055
4,1,1,9,8,100000,4.96294,0.20603
4,1,2,9,8,100000,6.1878,0.20037
4,1,3,9,8,100000,9.18813,0.20692
4,2,0,9,8,100000,5.12238,0.20756
4,2,1,9,8,100000,5.32087,0.20617
4,2,2,9,8,100000,6.52254,0.20349
4,3,0,9,8,100000,6.78587,0.20226
4,3,1,9,8,100000,6.96529,0.20693
4,4,0,9,8,100000,9.96144,0.20562
5,1,0,9,8,100000,6.44216,0.20604
5,1,1,9,8,100000,6.53064,0.20537
5,1,2,9,8,100000,7.23631,0.20447
5,1,3,9,8,100000,9.56288,0.20185
5,1,4,9,8,100000,13.33716,0.20522
5,2,0,9,8,100000,6.58633,0.20386
5,2,1,9,8,100000,6.67261,0.20387
5,2,2,9,8,100000,7.38827,0.20444
5,2,3,9,8,100000,9.71196,0.20316
5,3,0,9,8,100000,7.60459,0.2042
5,3,1,9,8,100000,7.66415,0.20565
5,3,2,9,8,100000,8.39935,0.20567
5,4,0,9,8,100000,10.18197,0.20234
5,4,1,9,8,100000,10.26546,0.20196
5,5,0,9,8,100000,13.80837,0.20424
6,1,0,9,8,100000,8.3018,0.20275
6,1,1,9,8,100000,8.3268,0.20493
6,1,2,9,8,100000,8.67753,0.20604
6,1,3,9,8,100000,10.26576,0.20463
6,1,4,9,8,100000,13.49764,0.20595
6,1,5,9,8,100000,17.71363,0.20668
6,2,0,9,8,100000,8.34895,0.20175
6,2,1,9,8,100000,8.36048,0.20184
6,2,2,9,8,100000,8.72778,0.20203
6,2,3,9,8,100000,10.28012,0.20531
6,2,4,9,8,100000,13.55292,0.20282
6,3,0,9,8,100000,8.84377,0.20398
6,3,1,9,8,100000,8.89574,0.20416
6,3,2,9,8,100000,9.23594,0.20367
6,3,3,9,8,100000,10.83527,0.20402
6,4,0,9,8,100000,10.67999,0.20296
6,4,1,9,8,100000,10.70397,0.2044
6,4,2,9,8,100000,11.07708,0.20391
6,5,0,9,8,100000,13.91937,0.20383
6,5,1,9,8,100000,13.92526,0.20365
